Elow [GeV], Ehigh [GeV], numu [POT^-1], numubar [POT^-1], nue [POT^-1], nuebar [POT^-1], nutau [POT^-1], nutaubar [POT^-1]
1.0,1.1615863496415424,0.000932375914688923,0.0005714399730879104,4.917720762013092e-05,3.6466589909467865e-05,1.3312754884958066e-06,1.3300415223147422e-06
1.1615863496415424,1.3492828476735632,0.0010830351352371982,0.0006637768723784458,5.712357308503201e-05,4.23590930568138e-05,1.5463914350491024e-06,1.5449580767772586e-06
1.3492828476735632,1.5673085376630795,0.001258038829273713,0.0007710341541625599,6.635396273832428e-05,4.920374427799081e-05,1.7962671821556356e-06,1.7946022127529163e-06
1.5673085376630795,1.8205642030260802,0.0014613207314033711,0.0008956227485826417,7.707585736146099e-05,5.7154397704567245e-05,2.086519439101063e-06,2.0845854333702935e-06
1.8205642030260802,2.114742526881128,0.001206898268066051,0.0007450957304264744,6.566698733022591e-05,4.968977291692413e-05,2.110873685618854e-06,2.2097879374949126e-06
2.114742526881128,2.4564560522315806,0.0005108273519504254,0.0003291751172712371,3.293015696840485e-05,2.7383366324361594e-05,1.883762000045898e-06,2.1824183054690173e-06
2.4564560522315806,2.8533858187665557,0.0005933700790491509,0.00038236532286392344,3.825122082605244e-05,3.180814452961236e-05,2.1881522252267684e-06,2.5350673128406392e-06
2.8533858187665557,3.314454017339987,0.00041159002633413115,0.00027119211715219557,3.063465713062814e-05,2.6828120460410518e-05,2.117642923761496e-06,2.4587953462031968e-06
3.314454017339987,3.8500245430567,0.000327719280417571,0.00022134068353056962,2.8112249899254523e-05,2.5682407447067492e-05,2.2301451708805443e-06,2.5929424183828772e-06
3.8500245430567,4.47213595499958,0.00023938249749167628,0.0001657667857741509,2.4319740077632026e-05,2.3709430547335363e-05,2.1861041668340066e-06,2.500422617455635e-06
4.47213595499958,5.194772079068654,0.00020093713172958624,0.00014218273011134476,2.332137522664141e-05,2.3794151384448704e-05,2.2838978099030378e-06,2.551498018593124e-06
5.194772079068654,6.034176336545162,0.000152488685827484,0.00011117705302073262,2.1062907187778812e-05,2.2780738650678964e-05,2.303185482721336e-06,2.4252374766700764e-06
6.034176336545162,7.009216863860871,0.00011550727329354332,8.755267327419756e-05,1.910198658920805e-05,2.159661437606825e-05,2.2525277693219427e-06,2.2232707768297885e-06
7.009216863860871,8.141810630738087,8.998952205870242e-05,7.04720563973653e-05,1.7358707208768332e-05,2.0480675254041878e-05,2.1636210561693944e-06,2.0688957725768876e-06
8.141810630738087,9.457416090031758,7.154459178491422e-05,5.795611460061403e-05,1.5987421070203157e-05,1.9426035521457652e-05,2.1133097140692594e-06,1.912120548994945e-06
9.457416090031758,10.985605433061178,5.854251026688217e-05,4.88460530737367e-05,1.5097847878913422e-05,1.840890700254678e-05,2.0473160846012708e-06,1.7647630333027343e-06
10.985605433061178,12.760729313591826,4.480846046962399e-05,3.85216958246269e-05,1.3648064426762857e-05,1.6587866122270986e-05,1.8546375566290442e-06,1.5454208458027693e-06
12.760729313591826,14.822688982138951,3.621424232681818e-05,3.166491207193821e-05,1.2521315392218463e-05,1.5139387807193109e-05,1.6783146445970018e-06,1.3916863451774552e-06
14.822688982138951,17.2178331866347,2.910548606401558e-05,2.5569318914953025e-05,1.1491906789407635e-05,1.340325428124678e-05,1.495699146649426e-06,1.2212005551230045e-06
17.2178331866347,20.000000000000004,2.3254865105572588e-05,2.0609209323990035e-05,1.0464615858908855e-05,1.1685274815501338e-05,1.2892247613816923e-06,1.098211408684731e-06
20.000000000000004,23.231726992830847,1.8696775971762298e-05,1.6381296726422436e-05,9.327640434856715e-06,9.901470632344923e-06,1.0752053203736859e-06,9.790256495071197e-07
23.231726992830847,26.985656953471263,1.5077012304116142e-05,1.2907724536568776e-05,8.264697336312362e-06,8.329610942643377e-06,8.766733677959967e-07,8.62404178901783e-07
26.985656953471263,31.346170753261585,1.2020074497686896e-05,9.946755680155705e-06,7.212499199839017e-06,6.7367532252486775e-06,7.202034877309479e-07,7.401264341639899e-07
31.346170753261585,36.411284060521595,9.56230419063549e-06,7.575338859336715e-06,6.145769507794278e-06,5.3444931250422066e-06,5.514633250985917e-07,6.431657937570096e-07
36.411284060521595,42.29485053762257,7.554958318810498e-06,5.600392406908554e-06,5.113263156579893e-06,4.091193726407297e-06,4.213003465991282e-07,5.589127023345524e-07
42.29485053762257,49.12912104463162,5.827498398851732e-06,4.008541689599909e-06,4.16896983632348e-06,3.014347366570945e-06,3.252474622016329e-07,4.5411292421317453e-07
49.12912104463162,57.067716375331116,4.445571972406921e-06,2.72586732181772e-06,3.2549638242357257e-06,2.1059013236562996e-06,2.2433538659141405e-07,3.6808448909222434e-07
57.067716375331116,66.28908034679972,3.2111840618742697e-06,1.8300930370166015e-06,2.4251323035907808e-06,1.4063030015454172e-06,1.6714650750393827e-07,2.806924412610834e-07
66.28908034679972,77.000490861134,2.2304202033465186e-06,1.1187945493267154e-06,1.7562020676551112e-06,8.858210080909878e-07,1.0872936322572815e-07,2.0727386622199852e-07
77.000490861134,89.4427190999916,1.4760700468817902e-06,6.548385690834797e-07,1.1640159119650162e-06,5.162075216011155e-07,5.9224575252444805e-08,1.3812396554294077e-07
89.4427190999916,103.89544158137303,9.290789779588148e-07,3.5017470342490606e-07,7.21731533762272e-07,2.726657742292361e-07,3.691598137638104e-08,8.009067373276256e-08
103.89544158137303,120.68352673090327,5.462651053282524e-07,1.73333227828539e-07,4.197112087035027e-07,1.2428041546078978e-07,1.7997044129053175e-08,4.690769412493782e-08
120.68352673090327,140.18433727721748,2.973746759709743e-07,7.377990499154766e-08,2.0789555415266866e-07,5.170234141331612e-08,6.69170202542114e-09,2.5969519676367415e-08
140.18433727721748,162.83621261476173,1.3055983315781672e-07,2.767673291507591e-08,1.0147187297214486e-07,1.675069899799214e-08,2.6253820957414775e-09,1.0367208014218968e-08
162.83621261476173,189.14832180063522,6.196159911934781e-08,7.344453614586756e-09,3.8697639072880377e-08,5.318930342388551e-09,9.79048e-10,2.5423192721982075e-09
189.14832180063522,219.71210866122348,2.46080751106336e-08,2.243270239828522e-09,1.119537697817079e-08,8.811432000000001e-10,0.0,1.1603361837731692e-09
219.71210866122348,255.21458627183657,1.053631177577859e-08,2.8185943944647244e-11,1.468572e-09,2.9371439999999997e-10,9.79048e-11,1.958096e-10
255.21458627183657,296.45377964277924,2.3201448e-09,0.0,1.958096e-10,0.0,0.0,9.79048e-11
296.45377964277924,344.35666373269385,5.5556e-10,0.0,0.0,0.0,0.0,0.0
344.35666373269385,400.0,0.0,0.0,0.0,0.0,0.0,0.0
